"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Planning for the Coinbase IPO - Secfi Page","	","	","	0","	0","	added","	2020-07-21","	2020-07-22","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Privacy Policy Page","	","	","	0","	0","	added","	2020-04-02","	2020-07-08","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Products - Equity Insights Page","	","	","	0","	0","	added","	2020-04-02","	2020-07-08","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Products - Equity Isights Page","	","	","	0","	0","	added","	2020-04-15","	2020-04-15","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Products - Exercise Tax Calculator Page","	","	","	0","	0","	added","	2020-04-29","	2020-07-07","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Products - Liquidity Page","	","	","	0","	0","	added","	2020-04-02","	2020-07-08","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Products - Options Exercise - About Page","	","	","	0","	0","	added","	2020-05-11","	2020-05-11","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
